f = 10, E = 27.26300009867629, AnsE = 27.4
f = 11, E = 27.398630011860316, AnsE = 27.4
f = 12, E = 27.399999863098532, AnsE = 27.4
f = 13, E = 27.40000000000001, AnsE = 27.4
f = 14, E = 27.4, AnsE = 27.4
f = 15, E = 27.4, AnsE = 27.4
f = 16, E = 27.4, AnsE = 27.4
f = 17, E = 27.4, AnsE = 27.4
f = 18, E = 27.4, AnsE = 27.4
f = 19, E = 27.4, AnsE = 27.4
f = 20, E = 27.4, AnsE = 27.4
f = 21, E = 27.4, AnsE = 27.4
f = 22, E = 27.4, AnsE = 27.4
f = 23, E = 27.4, AnsE = 27.4
f = 24, E = 27.4, AnsE = 27.4
f = 25, E = 27.4, AnsE = 27.4
f = 26, E = 27.4, AnsE = 27.4
f = 27, E = 27.4, AnsE = 27.4
f = 28, E = 27.4, AnsE = 27.4
f = 29, E = 27.4, AnsE = 27.4
f = 30, E = 27.4, AnsE = 27.4
f = 31, E = 27.4, AnsE = 27.4
f = 32, E = 27.4, AnsE = 27.4
f = 33, E = 27.4, AnsE = 27.4
f = 34, E = 27.4, AnsE = 27.4
f = 35, E = 27.4, AnsE = 27.4
f = 36, E = 27.4, AnsE = 27.4
f = 37, E = 27.4, AnsE = 27.4
f = 38, E = 27.4, AnsE = 27.4
f = 39, E = 27.4, AnsE = 27.4
f = 40, E = 27.4, AnsE = 27.4
f = 41, E = 27.4, AnsE = 27.4
f = 42, E = 27.4, AnsE = 27.4
f = 43, E = 27.4, AnsE = 27.4
f = 44, E = 27.4, AnsE = 27.4
f = 45, E = 27.4, AnsE = 27.4
f = 46, E = 27.4, AnsE = 27.4
f = 47, E = 27.4, AnsE = 27.4
f = 48, E = 27.4, AnsE = 27.4
f = 49, E = 27.4, AnsE = 27.4
f = 50, E = 27.4, AnsE = 27.4
f = 51, E = 27.4, AnsE = 27.4
f = 52, E = 27.4, AnsE = 27.4
f = 53, E = 27.4, AnsE = 27.4
f = 54, E = 27.4, AnsE = 27.4
f = 55, E = 27.4, AnsE = 27.4
f = 56, E = 27.4, AnsE = 27.4
f = 57, E = 27.4, AnsE = 27.4
f = 58, E = 27.4, AnsE = 27.4
f = 59, E = 27.4, AnsE = 27.4
f = 60, E = 27.4, AnsE = 27.4
f = 61, E = 27.4, AnsE = 27.4
f = 62, E = 27.4, AnsE = 27.4
f = 63, E = 27.4, AnsE = 27.4
f = 64, E = 27.4, AnsE = 27.4
f = 65, E = 27.4, AnsE = 27.4
f = 66, E = 27.4, AnsE = 27.4
f = 67, E = 27.4, AnsE = 27.4
f = 68, E = 27.4, AnsE = 27.4
f = 69, E = 27.4, AnsE = 27.4
f = 70, E = 27.4, AnsE = 27.4
f = 71, E = 27.4, AnsE = 27.4
f = 72, E = 27.4, AnsE = 27.4
f = 73, E = 27.4, AnsE = 27.4
f = 74, E = 27.4, AnsE = 27.4
f = 75, E = 27.4, AnsE = 27.4
f = 76, E = 27.4, AnsE = 27.4
f = 77, E = 27.4, AnsE = 27.4
f = 78, E = 27.4, AnsE = 27.4
f = 79, E = 27.4, AnsE = 27.4
f = 80, E = 27.4, AnsE = 27.4
f = 81, E = 27.4, AnsE = 27.4
f = 82, E = 27.4, AnsE = 27.4
f = 83, E = 27.4, AnsE = 27.4
f = 84, E = 27.4, AnsE = 27.4
f = 85, E = 27.4, AnsE = 27.4
f = 86, E = 27.4, AnsE = 27.4
f = 87, E = 27.4, AnsE = 27.4
f = 88, E = 27.4, AnsE = 27.4
f = 89, E = 27.4, AnsE = 27.4
f = 90, E = 27.4, AnsE = 27.4
f = 91, E = 27.4, AnsE = 27.4
f = 92, E = 27.4, AnsE = 27.4
f = 93, E = 27.4, AnsE = 27.4
f = 94, E = 27.4, AnsE = 27.4
f = 95, E = 27.4, AnsE = 27.4
f = 96, E = 27.4, AnsE = 27.4
f = 97, E = 27.4, AnsE = 27.4
f = 98, E = 27.4, AnsE = 27.4
f = 99, E = 27.4, AnsE = 27.4
