Iph = 0.0, vL = 0.0, iL = 3.2311742677852644e-27
Iph = 0.2, vL = 0.0, iL = 0.19980019979218014
Iph = 0.2, vL = 0.01, iL = 0.1997002996880319
Iph = 0.2, vL = 0.02, iL = 0.19960039958371645
Iph = 0.2, vL = 0.03, iL = 0.1995004994792272
Iph = 0.2, vL = 0.04, iL = 0.1994005993745573
Iph = 0.2, vL = 0.05, iL = 0.19930069926969965
Iph = 0.2, vL = 0.06, iL = 0.19920079916464684
Iph = 0.2, vL = 0.07, iL = 0.1991008990593912
Iph = 0.2, vL = 0.08, iL = 0.19900099895392478
Iph = 0.2, vL = 0.09, iL = 0.1989010988482392
Iph = 0.2, vL = 0.1, iL = 0.1988011987423259
Iph = 0.2, vL = 0.11, iL = 0.19870129863617592
Iph = 0.2, vL = 0.12, iL = 0.1986013985297799
Iph = 0.2, vL = 0.13, iL = 0.19850149842312817
Iph = 0.2, vL = 0.14, iL = 0.1984015983162107
Iph = 0.2, vL = 0.15, iL = 0.19830169820901697
Iph = 0.2, vL = 0.16, iL = 0.19820179810153615
Iph = 0.2, vL = 0.17, iL = 0.1981018979937569
Iph = 0.2, vL = 0.18, iL = 0.19800199788566752
Iph = 0.2, vL = 0.19, iL = 0.1979020977772558
Iph = 0.2, vL = 0.2, iL = 0.19780219766850898
Iph = 0.2, vL = 0.21, iL = 0.19770229755941396
Iph = 0.2, vL = 0.22, iL = 0.19760239744995697
Iph = 0.2, vL = 0.23, iL = 0.1975024973401238
Iph = 0.2, vL = 0.24, iL = 0.1974025972298996
Iph = 0.2, vL = 0.25, iL = 0.19730269711926907
Iph = 0.2, vL = 0.26, iL = 0.1972027970082161
Iph = 0.2, vL = 0.27, iL = 0.19710289689672408
Iph = 0.2, vL = 0.28, iL = 0.19700299678477584
Iph = 0.2, vL = 0.29, iL = 0.19690309667235328
Iph = 0.2, vL = 0.3, iL = 0.19680319655943782
Iph = 0.2, vL = 0.31, iL = 0.19670329644601
Iph = 0.2, vL = 0.32, iL = 0.1966033963320497
Iph = 0.2, vL = 0.33, iL = 0.19650349621753593
Iph = 0.2, vL = 0.34, iL = 0.19640359610244693
Iph = 0.2, vL = 0.35000000000000003, iL = 0.19630369598676
